[,,-1,10,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,,-1,10,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,,-1,11,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,,-1,11,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,,-1,21,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,,-1,21,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,,-1,26,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,,-1,26,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,,5,10,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,,5,10,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,,5,11,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,,5,11,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,,5,21,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,,5,21,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,,5,26,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,,5,26,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,,11,10,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,,11,10,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,,11,11,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,,11,11,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,,11,21,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,,11,21,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,,11,26,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,,11,26,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Lipstick,-1,10,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Lipstick,-1,10,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Lipstick,-1,11,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Lipstick,-1,11,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Lipstick,-1,21,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Lipstick,-1,21,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Lipstick,-1,26,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Lipstick,-1,26,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Lipstick,5,10,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Lipstick,5,10,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Lipstick,5,11,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Lipstick,5,11,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Lipstick,5,21,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Lipstick,5,21,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Lipstick,5,26,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Lipstick,5,26,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Lipstick,11,10,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Lipstick,11,10,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Lipstick,11,11,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Lipstick,11,11,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Lipstick,11,21,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Lipstick,11,21,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Lipstick,11,26,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Lipstick,11,26,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Eyeshadow,-1,10,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Eyeshadow,-1,10,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Eyeshadow,-1,11,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Eyeshadow,-1,11,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Eyeshadow,-1,21,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Eyeshadow,-1,21,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Eyeshadow,-1,26,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Eyeshadow,-1,26,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Eyeshadow,5,10,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Eyeshadow,5,10,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Eyeshadow,5,11,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Eyeshadow,5,11,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Eyeshadow,5,21,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Eyeshadow,5,21,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Eyeshadow,5,26,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Eyeshadow,5,26,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Eyeshadow,11,10,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Eyeshadow,11,10,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Eyeshadow,11,11,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Eyeshadow,11,11,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Eyeshadow,11,21,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Eyeshadow,11,21,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Eyeshadow,11,26,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Eyeshadow,11,26,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Mascara,-1,10,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Mascara,-1,10,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Mascara,-1,11,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Mascara,-1,11,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Mascara,-1,21,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Mascara,-1,21,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Mascara,-1,26,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Mascara,-1,26,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Mascara,5,10,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Mascara,5,10,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Mascara,5,11,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Mascara,5,11,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Mascara,5,21,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Mascara,5,21,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Mascara,5,26,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Mascara,5,26,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Mascara,11,10,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Mascara,11,10,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Mascara,11,11,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Mascara,11,11,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Mascara,11,21,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Mascara,11,21,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Mascara,11,26,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Mascara,11,26,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Blusher,-1,10,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Blusher,-1,10,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Blusher,-1,11,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Blusher,-1,11,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Blusher,-1,21,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Blusher,-1,21,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Blusher,-1,26,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Blusher,-1,26,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Blusher,5,10,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Blusher,5,10,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Blusher,5,11,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Blusher,5,11,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Blusher,5,21,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Blusher,5,21,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Blusher,5,26,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Blusher,5,26,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Blusher,11,10,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Blusher,11,10,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Blusher,11,11,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Blusher,11,11,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Blusher,11,21,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Blusher,11,21,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Blusher,11,26,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Blusher,11,26,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Foundation,-1,10,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Foundation,-1,10,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Foundation,-1,11,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Foundation,-1,11,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Foundation,-1,21,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Foundation,-1,21,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Foundation,-1,26,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Foundation,-1,26,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Foundation,5,10,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Foundation,5,10,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Foundation,5,11,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Foundation,5,11,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Foundation,5,21,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Foundation,5,21,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Foundation,5,26,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Foundation,5,26,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Foundation,11,10,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Foundation,11,10,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Foundation,11,11,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Foundation,11,11,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Foundation,11,21,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Foundation,11,21,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Foundation,11,26,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Foundation,11,26,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Unknown,-1,10,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Unknown,-1,10,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Unknown,-1,11,False] => Response{productId=0, statusCode=-2, message='Missing Name'} 
[,Unknown,-1,11,True] => Response{productId=0, statusCode=-2, message='Missing Name'} 
